type,key,mdate,publtype,reviewid,rating,cdate,author,editor,title,booktitle,pages,year,address,journal,volume,number,month,url,ee,cdrom,cite,publisher,note,crossref,isbn,series,school,chapter,publnr,stream,rel,aux,label,type_attr,href,orcid,bibtex,ref,sort,uri
incollection,reference/vision/X14bd,2017-07-12,encyclopedia,,,,,,Curvedness.,"Computer Vision, A Reference Guide",159,2014,,,,,,db/reference/vision/vision2014.html#X14bd,https://doi.org/10.1007/978-0-387-31439-6_100117,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Singh14,2019-01-09,encyclopedia,,,,Manish Singh 0001,,Transparency and Translucency.,"Computer Vision, A Reference Guide",815-819,2014,,,,,,db/reference/vision/vision2014.html#Singh14,https://doi.org/10.1007/978-0-387-31439-6_559,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ii,2017-07-12,encyclopedia,,,,,,Surface Orientation Histogram (Discrete Version of EGI).,"Computer Vision, A Reference Guide",781,2014,,,,,,db/reference/vision/vision2014.html#X14ii,https://doi.org/10.1007/978-0-387-31439-6_100229,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14m,2017-07-12,encyclopedia,,,,,,Appearance Scanning.,"Computer Vision, A Reference Guide",36,2014,,,,,,db/reference/vision/vision2014.html#X14m,https://doi.org/10.1007/978-0-387-31439-6_100189,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Wong14,2017-07-12,encyclopedia,,,,Tien-Tsin Wong,,Image-Based Lighting.,"Computer Vision, A Reference Guide",387-390,2014,,,,,,db/reference/vision/vision2014.html#Wong14,https://doi.org/10.1007/978-0-387-31439-6_14,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gt,2017-07-12,encyclopedia,,,,,,Radiometric Camera Calibration.,"Computer Vision, A Reference Guide",658,2014,,,,,,db/reference/vision/vision2014.html#X14gt,https://doi.org/10.1007/978-0-387-31439-6_100172,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Pont14b,2018-11-02,encyclopedia,,,,Sylvia C. Pont,,Surface Roughness.,"Computer Vision, A Reference Guide",781-782,2014,,,,,,db/reference/vision/vision2014.html#Pont14b,https://doi.org/10.1007/978-0-387-31439-6_539,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Alexander14,2025-09-06,encyclopedia,,,,Daniel C. Alexander,,Image Registration.,"Computer Vision, A Reference Guide",380-385,2014,,,,,,db/reference/vision/vision2014.html#Alexander14,https://doi.org/10.1007/978-0-387-31439-6_194,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Fukui14,2017-07-12,encyclopedia,,,,Kazuhiro Fukui,,Subspace Methods.,"Computer Vision, A Reference Guide",777-781,2014,,,,,,db/reference/vision/vision2014.html#Fukui14,https://doi.org/10.1007/978-0-387-31439-6_708,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14if,2017-07-12,encyclopedia,,,,,,Structure-from-Motion (SfM).,"Computer Vision, A Reference Guide",775,2014,,,,,,db/reference/vision/vision2014.html#X14if,https://doi.org/10.1007/978-0-387-31439-6_100254,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14w,2017-07-12,encyclopedia,,,,,,Body Configuration Recovery.,"Computer Vision, A Reference Guide",59,2014,,,,,,db/reference/vision/vision2014.html#X14w,https://doi.org/10.1007/978-0-387-31439-6_100211,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/SrivastavaPKTA14,2020-03-11,encyclopedia,,,,Gaurav Srivastava 0004; Johnny Park; Avinash C. Kak; Birgi Tamersoy; J. K. Aggarwal,,Multi-camera Human Action Recognition.,"Computer Vision, A Reference Guide",501-511,2014,,,,,,db/reference/vision/vision2014.html#SrivastavaPKTA14,https://doi.org/10.1007/978-0-387-31439-6_776,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Zhang14q,2017-07-12,encyclopedia,,,,Zhengyou Zhang,,Iterative Closest Point (ICP).,"Computer Vision, A Reference Guide",433-434,2014,,,,,,db/reference/vision/vision2014.html#Zhang14q,https://doi.org/10.1007/978-0-387-31439-6_179,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Gall14,2017-07-12,encyclopedia,,,,Juergen Gall,,Simulated Annealing.,"Computer Vision, A Reference Guide",737-741,2014,,,,,,db/reference/vision/vision2014.html#Gall14,https://doi.org/10.1007/978-0-387-31439-6_680,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ew,2017-07-12,encyclopedia,,,,,,Multisensor Data Fusion.,"Computer Vision, A Reference Guide",516,2014,,,,,,db/reference/vision/vision2014.html#X14ew,https://doi.org/10.1007/978-0-387-31439-6_100091,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14hp,2017-07-12,encyclopedia,,,,,,Semidefinite Optimization.,"Computer Vision, A Reference Guide",716,2014,,,,,,db/reference/vision/vision2014.html#X14hp,https://doi.org/10.1007/978-0-387-31439-6_100253,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Hartley14,2017-07-12,encyclopedia,,,,Richard I. Hartley,,Projective Reconstruction.,"Computer Vision, A Reference Guide",640-651,2014,,,,,,db/reference/vision/vision2014.html#Hartley14,https://doi.org/10.1007/978-0-387-31439-6_784,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14au,2017-07-12,encyclopedia,,,,,,Computer Vision.,"Computer Vision, A Reference Guide",145,2014,,,,,,db/reference/vision/vision2014.html#X14au,https://doi.org/10.1007/978-0-387-31439-6_100073,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ay,2017-07-12,encyclopedia,,,,,,Conditional Random Fields.,"Computer Vision, A Reference Guide",146,2014,,,,,,db/reference/vision/vision2014.html#X14ay,https://doi.org/10.1007/978-0-387-31439-6_100233,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14je,2017-07-12,encyclopedia,,,,,,Underwater Radiative Transfer Processes.,"Computer Vision, A Reference Guide",837,2014,,,,,,db/reference/vision/vision2014.html#X14je,https://doi.org/10.1007/978-0-387-31439-6_100197,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/PoggioU14,2017-07-12,encyclopedia,,,,Tomaso A. Poggio; Shimon Ullman,,Machine Recognition of Objects.,"Computer Vision, A Reference Guide",469-472,2014,,,,,,db/reference/vision/vision2014.html#PoggioU14,https://doi.org/10.1007/978-0-387-31439-6_793,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14fz,2017-07-12,encyclopedia,,,,,,Partitioning.,"Computer Vision, A Reference Guide",589,2014,,,,,,db/reference/vision/vision2014.html#X14fz,https://doi.org/10.1007/978-0-387-31439-6_100059,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gv,2017-07-12,encyclopedia,,,,,,Recognition-By-Components (RBC) Theory.,"Computer Vision, A Reference Guide",663,2014,,,,,,db/reference/vision/vision2014.html#X14gv,https://doi.org/10.1007/978-0-387-31439-6_100121,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gb,2017-07-12,encyclopedia,,,,,,Perspective Projection.,"Computer Vision, A Reference Guide",592,2014,,,,,,db/reference/vision/vision2014.html#X14gb,https://doi.org/10.1007/978-0-387-31439-6_100003,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14gn,2017-07-12,encyclopedia,,,,,,Projection Matrix.,"Computer Vision, A Reference Guide",639,2014,,,,,,db/reference/vision/vision2014.html#X14gn,https://doi.org/10.1007/978-0-387-31439-6_100004,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14av,2017-07-12,encyclopedia,,,,,,Computing Architectures for Machine Perception.,"Computer Vision, A Reference Guide",145,2014,,,,,,db/reference/vision/vision2014.html#X14av,https://doi.org/10.1007/978-0-387-31439-6_100298,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14in,2017-07-12,encyclopedia,,,,,,Surveillance Camera.,"Computer Vision, A Reference Guide",782,2014,,,,,,db/reference/vision/vision2014.html#X14in,https://doi.org/10.1007/978-0-387-31439-6_100162,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ez,2017-07-12,encyclopedia,,,,,,Network Camera.,"Computer Vision, A Reference Guide",523,2014,,,,,,db/reference/vision/vision2014.html#X14ez,https://doi.org/10.1007/978-0-387-31439-6_100161,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Zickler14,2017-07-12,encyclopedia,,,,Todd E. Zickler,,Photometric Invariants.,"Computer Vision, A Reference Guide",599-603,2014,,,,,,db/reference/vision/vision2014.html#Zickler14,https://doi.org/10.1007/978-0-387-31439-6_544,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dl,2017-07-12,encyclopedia,,,,,,Interface Reflection.,"Computer Vision, A Reference Guide",422,2014,,,,,,db/reference/vision/vision2014.html#X14dl,https://doi.org/10.1007/978-0-387-31439-6_100181,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Beyerer14,2017-07-12,encyclopedia,,,,Jürgen Beyerer,,Mirrors.,"Computer Vision, A Reference Guide",483-486,2014,,,,,,db/reference/vision/vision2014.html#Beyerer14,https://doi.org/10.1007/978-0-387-31439-6_100,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Rusinkiewicz14,2018-11-02,encyclopedia,,,,Szymon Rusinkiewicz,,Reflectance Models.,"Computer Vision, A Reference Guide",674-677,2014,,,,,,db/reference/vision/vision2014.html#Rusinkiewicz14,https://doi.org/10.1007/978-0-387-31439-6_537,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Agrawal14,2017-07-12,encyclopedia,,,,Amit K. Agrawal,,Multi-focus Images.,"Computer Vision, A Reference Guide",511-513,2014,,,,,,db/reference/vision/vision2014.html#Agrawal14,https://doi.org/10.1007/978-0-387-31439-6_445,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/ShenGCB14,2024-05-10,encyclopedia,,,,Rui Shen 0002; Gaopeng Gou; Irene Cheng 0001; Anup Basu,,Active Calibration.,"Computer Vision, A Reference Guide",5,2014,,,,,,db/reference/vision/vision2014.html#ShenGCB14,https://doi.org/10.1007/978-0-387-31439-6_283,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Pietikainen14,2017-07-12,encyclopedia,,,,Matti Pietikäinen,,Texture Recognition.,"Computer Vision, A Reference Guide",789-793,2014,,,,,,db/reference/vision/vision2014.html#Pietikainen14,https://doi.org/10.1007/978-0-387-31439-6_328,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14jv,2017-07-12,encyclopedia,,,,,,Volumetric Texture.,"Computer Vision, A Reference Guide",874,2014,,,,,,db/reference/vision/vision2014.html#X14jv,https://doi.org/10.1007/978-0-387-31439-6_100072,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Agrawal14a,2017-07-12,encyclopedia,,,,Amit K. Agrawal,,Vignetting.,"Computer Vision, A Reference Guide",854-856,2014,,,,,,db/reference/vision/vision2014.html#Agrawal14a,https://doi.org/10.1007/978-0-387-31439-6_563,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Basri14,2017-07-12,encyclopedia,,,,Ronen Basri,,Photometric Stereo.,"Computer Vision, A Reference Guide",603-608,2014,,,,,,db/reference/vision/vision2014.html#Basri14,https://doi.org/10.1007/978-0-387-31439-6_254,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Zach14,2017-07-12,encyclopedia,,,,Christopher Zach,,Dense Reconstruction.,"Computer Vision, A Reference Guide",179-181,2014,,,,,,db/reference/vision/vision2014.html#Zach14,https://doi.org/10.1007/978-0-387-31439-6_197,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dh,2017-07-12,encyclopedia,,,,,,Implicit Polynomial Surface.,"Computer Vision, A Reference Guide",399,2014,,,,,,db/reference/vision/vision2014.html#X14dh,https://doi.org/10.1007/978-0-387-31439-6_100120,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ax,2017-07-12,encyclopedia,,,,,,Concurrent Mapping and Localization (CML).,"Computer Vision, A Reference Guide",146,2014,,,,,,db/reference/vision/vision2014.html#X14ax,https://doi.org/10.1007/978-0-387-31439-6_100077,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Koenderink14c,2017-07-12,encyclopedia,,,,Jan J. Koenderink,,Osculating Paraboloids.,"Computer Vision, A Reference Guide",575-580,2014,,,,,,db/reference/vision/vision2014.html#Koenderink14c,https://doi.org/10.1007/978-0-387-31439-6_781,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14s,2017-07-12,encyclopedia,,,,,,Backscattering.,"Computer Vision, A Reference Guide",43,2014,,,,,,db/reference/vision/vision2014.html#X14s,https://doi.org/10.1007/978-0-387-31439-6_100957,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14bm,2017-07-12,encyclopedia,,,,,,Diffusely Scattered Reflectance.,"Computer Vision, A Reference Guide",210,2014,,,,,,db/reference/vision/vision2014.html#X14bm,https://doi.org/10.1007/978-0-387-31439-6_100959,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Tappen14a,2017-07-12,encyclopedia,,,,Marshall F. Tappen,,Intrinsic Images.,"Computer Vision, A Reference Guide",424-425,2014,,,,,,db/reference/vision/vision2014.html#Tappen14a,https://doi.org/10.1007/978-0-387-31439-6_245,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14bf,2017-07-12,encyclopedia,,,,,,Deconvolution.,"Computer Vision, A Reference Guide",171,2014,,,,,,db/reference/vision/vision2014.html#X14bf,https://doi.org/10.1007/978-0-387-31439-6_100166,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dm,2017-07-12,encyclopedia,,,,,,Interpretation of Line Drawings.,"Computer Vision, A Reference Guide",423,2014,,,,,,db/reference/vision/vision2014.html#X14dm,https://doi.org/10.1007/978-0-387-31439-6_100113,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Tai14,2017-07-12,encyclopedia,,,,Yu-Wing Tai,,Blur Estimation.,"Computer Vision, A Reference Guide",57-59,2014,,,,,,db/reference/vision/vision2014.html#Tai14,https://doi.org/10.1007/978-0-387-31439-6_509,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14cy,2017-07-12,encyclopedia,,,,,,Heterogeneous Parallel Computing.,"Computer Vision, A Reference Guide",358,2014,,,,,,db/reference/vision/vision2014.html#X14cy,https://doi.org/10.1007/978-0-387-31439-6_100299,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14bq,2017-07-12,encyclopedia,,,,,,Dimension Reduction.,"Computer Vision, A Reference Guide",218,2014,,,,,,db/reference/vision/vision2014.html#X14bq,https://doi.org/10.1007/978-0-387-31439-6_100232,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14ev,2017-07-12,encyclopedia,,,,,,Multiplexed Sensing.,"Computer Vision, A Reference Guide",516,2014,,,,,,db/reference/vision/vision2014.html#X14ev,https://doi.org/10.1007/978-0-387-31439-6_100188,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dq,2017-07-12,encyclopedia,,,,,,Kalman-Bucy Filter.,"Computer Vision, A Reference Guide",437,2014,,,,,,db/reference/vision/vision2014.html#X14dq,https://doi.org/10.1007/978-0-387-31439-6_100269,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14hm,2017-07-12,encyclopedia,,,,,,Second Order Approximation.,"Computer Vision, A Reference Guide",713,2014,,,,,,db/reference/vision/vision2014.html#X14hm,https://doi.org/10.1007/978-0-387-31439-6_100295,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/Chan14a,2017-07-12,encyclopedia,,,,Shing-Chow Chan,,Light Field.,"Computer Vision, A Reference Guide",447-453,2014,,,,,,db/reference/vision/vision2014.html#Chan14a,https://doi.org/10.1007/978-0-387-31439-6_5,,,,,,,,,,,,,,,,,,,,,
incollection,reference/vision/X14dt,2017-07-12,encyclopedia,,,,,,KF.,"Computer Vision, A Reference Guide",437,2014,,,,,,db/reference/vision/vision2014.html#X14dt,https://doi.org/10.1007/978-0-387-31439-6_100270,,,,,,,,,,,,,,,,,,,,,
